date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:03:38	34092/34092	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-852c%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.ttf	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.ttf	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:39	144451/144451	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-23443%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.svg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-regular-400.svg	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:40	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-2ee74%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.eot	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:42	192116/192116	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-2ee74%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.eot?	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900d41d.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:42	75440/75440	---M--	200	added ('OK')	application/font-woff2	etag:%226753e645-126b0%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.woff2	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.woff2	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:43	98020/98020	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-17ee4%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.woff	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.woff	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:45	129352/129352	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-1f948%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.eot	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:46	191832/191832	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-2ed58%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.ttf	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.ttf	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:46	129352/129352	---MCZ	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%226753e645-1f948%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.eot?	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400d41d.eot	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:46	2408776/2408776	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-24c148%22	https://dashboardkit.io/assets/fonts/tabler/tabler-icons.svg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/tabler/tabler-icons.svg	(from https://dashboardkit.io/assets/fonts/tabler-icons.min.css)
13:03:46	839389/839389	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%226753e645-ccedd%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.svg	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-solid-900.svg	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:47	87352/87352	---MCZ	200	added ('OK')	application/font-woff	etag:W/%226753e645-15538%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.woff	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.woff	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:48	129048/129048	---M--	200	added ('OK')	application/octet-stream	etag:%226753e645-1f818%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.ttf	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.ttf	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
13:03:49	74508/74508	---M--	200	added ('OK')	application/font-woff2	etag:%226753e645-1230c%22	https://dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.woff2	C:/Users/marwe/Desktop/telpalepro/temp/dashboardkit.io/assets/fonts/fontawesome/fa-brands-400.woff2	(from https://dashboardkit.io/assets/fonts/fontawesome.css)
